　Item,"Part-time
workers","Part-time,
temporary or
dispatched workers","Temporary or
dispatched
workers"
2011,0.39,0.27,0.27
2012,0.38,0.25,0.27
2013,0.36,0.26,0.28
2014,0.35,0.26,0.28
2015,0.34,0.25,0.27
2016,0.32,0.25,0.27
2017,0.32,0.24,0.26
